M_G,G-RP,BP-RP
7.824,0.936,1.827
7.825,1.072,2.254
7.826,0.923,1.807
7.826,1.016,1.869
7.827,0.948,1.868
7.832,0.952,1.875
7.832,1.043,1.872
7.833,0.935,1.838
7.835,0.92,1.802
7.836,0.914,1.784
7.837,0.966,1.907
7.838,0.918,1.789
7.839,0.927,1.813
7.839,0.93,1.815
7.84,0.909,1.757
7.841,1.027,2.094
7.841,0.995,1.97
7.842,0.936,1.807
7.842,0.918,1.786
7.842,0.96,1.903
7.843,0.929,1.821
7.844,0.937,1.836
7.844,0.935,1.833
7.849,1.045,1.826
7.85,0.921,1.798
7.854,0.955,1.892
7.856,0.943,1.854
7.858,0.94,1.841
7.858,0.933,1.834
7.864,0.938,1.836
7.865,0.957,1.888
7.865,0.976,1.87
7.866,0.927,1.818
7.866,0.945,1.865
7.868,0.942,1.858
7.869,0.932,1.83
7.87,0.913,1.769
7.874,0.989,1.888
7.874,0.934,1.831
7.875,0.951,1.873
7.876,0.935,1.826
7.88,0.947,1.867
7.881,0.925,1.81
7.886,0.89,1.722
7.887,0.952,1.884
7.889,0.925,1.81
7.889,0.925,1.801
7.889,0.968,1.828
7.89,0.97,1.926
7.892,1.049,1.861
7.893,0.928,1.812
7.893,1.005,2.024
7.894,0.907,1.75
7.895,0.941,1.849
7.897,0.928,1.808
7.897,0.965,1.905
7.902,0.93,1.82
7.903,1.042,2.123
7.905,1.261,2.058
7.909,0.938,1.841
7.909,0.943,1.855
7.909,0.969,1.927
7.91,0.946,1.868
7.91,0.996,2.002
7.915,0.94,1.84
7.916,0.889,1.719
7.918,0.933,1.825
7.918,0.897,1.736
7.919,0.932,1.825
7.921,0.966,1.916
7.925,0.934,1.821
7.925,1.098,2.334
7.926,0.919,1.781
7.927,1.027,1.864
7.931,0.923,1.801
7.932,1.11,1.793
7.934,0.951,1.872
7.935,0.939,1.842
7.937,1.013,2.06
7.937,0.832,1.56
7.939,0.962,1.906
7.939,0.955,1.886
7.939,1.157,1.91
7.94,0.95,1.875
7.94,0.939,1.843
7.943,0.945,1.861
7.943,1.117,2.277
7.943,0.942,1.852
7.944,0.942,1.853
7.945,0.965,1.871
7.95,0.946,1.869
7.951,1.058,2.21
7.951,0.956,1.889
7.953,0.96,1.905
7.953,1.025,2.088
7.954,0.956,1.891
7.954,0.948,1.873
7.956,0.982,1.948
7.957,0.942,1.839
7.958,1.048,2.134
7.958,0.935,1.834
7.96,0.921,1.792
7.96,0.924,1.798
7.961,0.944,1.855
7.961,1.243,2.857
7.962,0.951,1.873
7.963,0.927,1.813
7.964,1.721,1.861
7.966,1.55,1.974
7.966,0.937,1.834
7.968,0.955,1.887
7.968,0.957,1.891
7.968,0.955,1.888
7.969,0.936,1.838
7.969,0.921,1.798
7.97,0.95,1.883
7.971,0.963,1.915
7.972,0.922,1.797
7.972,0.967,1.919
7.974,0.95,1.872
7.98,0.943,1.85
7.981,1.312,2.409
7.983,0.901,1.75
7.983,0.956,1.888
7.983,1.115,2.268
7.985,0.921,1.794
7.987,1.03,2.088
7.988,0.984,1.965
7.991,0.977,1.944
7.994,0.959,1.895
7.995,0.956,1.888
7.997,0.948,1.87
7.998,0.957,1.891
8.001,0.927,1.814
8.003,0.925,1.813
8.004,0.977,1.932
8.004,0.985,1.969
8.006,0.984,1.97
8.009,0.95,1.875
8.009,0.956,1.891
8.01,0.958,1.885
8.015,0.939,1.849
8.016,0.976,1.93
8.016,0.938,1.844
8.017,0.96,1.901
8.019,0.972,1.936
8.02,0.96,1.901
8.021,0.955,1.788
8.022,0.938,1.844
8.022,0.953,1.88
8.024,1.041,2.077
8.025,0.961,1.905
8.026,1.041,2.128
8.027,0.949,1.88
8.028,1.24,2.984
8.029,0.971,1.93
8.029,0.982,1.939
8.029,0.991,1.985
8.031,0.942,1.852
8.034,0.914,1.776
8.036,0.953,1.884
8.036,0.979,1.954
8.037,0.963,1.897
8.037,0.959,1.887
8.038,0.992,1.979
8.04,0.963,1.912
8.04,1.003,1.96
8.041,0.978,1.958
8.044,0.952,1.877
8.046,0.941,1.846
8.047,0.96,1.904
8.048,0.996,2.011
8.05,0.986,1.974
8.05,0.938,1.846
8.051,0.957,1.898
8.055,1.295,2.963
8.056,1.126,2.065
8.056,0.976,1.937
8.056,0.928,1.822
8.056,1.417,1.907
8.057,0.958,1.881
8.058,0.956,1.892
8.059,0.947,1.876
8.062,0.975,1.941
8.063,1.002,2
8.064,0.94,1.85
8.064,0.967,1.882
8.065,0.959,1.891
8.066,0.901,1.746
8.067,0.972,1.933
8.067,0.981,1.961
8.067,1.15,2.044
8.068,0.884,1.705
8.07,1.222,1.962
8.072,0.984,1.969
8.073,0.969,1.927
8.074,0.938,1.837
8.077,0.992,1.972
8.078,0.935,1.833
8.079,0.963,1.908
8.081,0.933,1.843
8.082,0.97,1.917
8.082,0.986,1.976
8.082,0.96,1.907
8.084,0.939,1.842
8.088,0.962,1.907
8.092,0.943,1.856
8.094,0.976,1.945
8.101,0.93,1.826
8.102,0.94,1.857
8.102,0.964,1.922
8.102,0.936,1.84
8.102,0.953,1.882
8.105,0.952,1.884
8.107,0.942,1.858
8.107,0.97,1.928
8.115,0.99,1.992
8.115,1.195,2.102
8.115,0.953,1.886
8.117,0.957,1.896
8.117,0.96,1.885
8.118,0.97,1.928
8.118,0.979,1.954
8.122,1.098,2.24
8.122,0.991,1.976
8.122,0.954,1.884
8.123,0.926,1.813
8.124,0.985,1.981
8.124,0.959,1.873
8.124,1.006,2.013
8.125,1.014,2.05
8.125,0.958,1.885
8.13,1.013,1.945
8.131,0.964,1.914
8.133,0.936,1.845
8.134,0.953,1.882
8.135,0.963,1.915
8.136,0.928,1.821
8.137,0.995,2.008
8.137,1.137,1.988
8.138,0.959,1.902
8.14,0.996,1.986
8.14,1.062,2.091
8.141,0.998,2.009
8.145,0.959,1.902
8.145,0.941,1.852
8.146,0.983,1.963
8.146,0.962,1.908
8.147,0.953,1.886
8.147,0.97,1.929
8.148,0.943,1.844
8.148,0.955,1.883
8.149,0.985,1.972
8.153,0.918,1.791
8.154,0.959,1.903
8.154,0.986,1.973
8.154,0.957,1.889
8.155,1.038,2.026
8.158,0.947,1.855
8.16,1.074,1.865
8.16,1.253,2.924
8.16,0.956,1.887
8.163,0.975,1.949
8.164,0.93,1.826
8.164,1,1.988
8.164,0.984,1.968
8.165,0.966,1.923
8.167,0.993,1.958
8.168,1.028,1.994
8.168,0.978,1.958
8.169,0.963,1.904
8.169,0.99,1.985
8.17,1.026,2.051
8.17,0.962,1.909
8.173,0.984,1.97
8.173,0.948,1.859
8.175,1.024,2.075
8.176,0.964,1.908
8.176,0.963,1.915
8.179,0.941,1.85
8.179,0.968,1.926
