Type,Teff,log g,M/Mo,Mbol,BC,U,B,V,R,I,2MASS_J,2MASS_H,2MASS_Ks,MKO_Y,MKO_J,MKO_H,MKO_K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DB,57500,8.5,0.942,4.985,-4.821,8.131,9.47,9.806,9.958,10.154,10.59,10.724,10.838,10.477,10.57,10.694,10.817,10.915,10.966,11.045,11.071,10.926,10.962,10.994,11.024,8.971,9.483,10.036,10.425,10.782,9.555,10.041,10.435,10.728,10.952,9.736,9.466,10.075,9.744,9.558,10.102,7.609,8.216,1.13E+06
DB,60000,8.5,0.944,4.799,-4.981,8.1,9.441,9.78,9.932,10.129,10.566,10.7,10.814,10.452,10.546,10.67,10.793,10.891,10.942,11.021,11.047,10.902,10.938,10.97,11,8.94,9.455,10.01,10.399,10.757,9.527,10.015,10.41,10.704,10.928,9.709,9.437,10.049,9.716,9.529,10.076,7.567,8.181,9.87E+05
DB,65000,8.5,0.947,4.447,-5.281,8.04,9.385,9.728,9.881,10.081,10.519,10.653,10.768,10.405,10.499,10.623,10.746,10.845,10.896,10.975,11,10.855,10.892,10.924,10.954,8.881,9.4,9.959,10.35,10.709,9.473,9.964,10.361,10.656,10.88,9.656,9.383,10,9.664,9.475,10.027,7.486,8.112,7.71E+05
DB,70000,8.5,0.95,4.121,-5.554,7.981,9.328,9.675,9.829,10.031,10.471,10.605,10.719,10.355,10.45,10.575,10.698,10.797,10.848,10.928,10.951,10.808,10.844,10.877,10.907,8.822,9.345,9.906,10.3,10.66,9.418,9.912,10.31,10.606,10.83,9.602,9.327,9.949,9.609,9.419,9.976,7.402,8.042,6.16E+05
DB,75000,8.5,0.954,3.818,-5.801,7.918,9.267,9.619,9.774,9.977,10.419,10.554,10.669,10.302,10.398,10.524,10.648,10.747,10.8,10.88,10.898,10.759,10.796,10.829,10.859,8.759,9.285,9.85,10.246,10.607,9.359,9.856,10.256,10.553,10.777,9.544,9.268,9.894,9.552,9.36,9.922,7.315,7.968,4.99E+05
DB,80000,8.5,0.957,3.534,-6.025,7.852,9.204,9.559,9.715,9.921,10.364,10.501,10.617,10.246,10.344,10.471,10.596,10.697,10.75,10.828,10.84,10.708,10.746,10.779,10.809,8.693,9.223,9.791,10.189,10.551,9.297,9.797,10.199,10.497,10.721,9.484,9.205,9.837,9.491,9.299,9.864,7.226,7.89,4.07E+05
DB,85000,8.5,0.96,3.267,-6.23,7.784,9.139,9.497,9.655,9.863,10.309,10.447,10.565,10.19,10.289,10.417,10.544,10.646,10.7,10.775,10.78,10.658,10.696,10.729,10.758,8.626,9.159,9.731,10.13,10.494,9.234,9.736,10.141,10.44,10.664,9.421,9.141,9.778,9.429,9.235,9.806,7.134,7.811,3.32E+05
DB,90000,8.5,0.964,3.015,-6.42,7.716,9.073,9.435,9.594,9.804,10.254,10.394,10.513,10.133,10.234,10.364,10.491,10.595,10.648,10.717,10.715,10.607,10.644,10.676,10.703,8.558,9.094,9.67,10.071,10.436,9.169,9.675,10.082,10.382,10.607,9.358,9.077,9.719,9.366,9.17,9.746,7.042,7.731,2.72E+05
DB,100000,8.5,0.97,2.55,-6.759,7.578,8.941,9.309,9.472,9.687,10.143,10.285,10.405,10.02,10.123,10.255,10.384,10.486,10.536,10.589,10.57,10.497,10.532,10.561,10.582,8.42,8.964,9.547,9.952,10.32,9.04,9.552,9.963,10.266,10.492,9.232,8.946,9.6,9.239,9.041,9.627,6.859,7.57,1.79E+05
DB,110000,8.5,0.977,2.128,-7.049,7.435,8.803,9.177,9.343,9.562,10.021,10.163,10.281,9.896,10.001,10.133,10.259,10.355,10.399,10.432,10.395,10.365,10.395,10.418,10.432,8.277,8.828,9.417,9.826,10.196,8.904,9.423,9.837,10.142,10.369,9.098,8.81,9.473,9.106,8.905,9.501,6.674,7.405,1.12E+05
DB,120000,8.5,0.984,1.743,-7.281,7.275,8.647,9.024,9.193,9.413,9.867,10.006,10.118,9.744,9.847,9.976,10.096,10.183,10.218,10.228,10.17,10.192,10.215,10.232,10.238,8.117,8.673,9.266,9.677,10.046,8.749,9.272,9.688,9.992,10.217,8.945,8.654,9.323,8.952,8.75,9.351,6.478,7.225,0.00E+00
