M_G,G-RP,BP-RP
10.984,1.213,2.79
11.77,1.3,3.002
15.068,1.536,3.872
14.937,1.521,3.133
10.795,1.192,2.825
4.548,0.46,0.751
6.388,1.552,0.729
5.533,0.925,1.131
7.3,0.856,1.614
4.573,0.46,0.755
9.7,1.183,2.443
10.877,1.226,2.815
14.331,1.061,1.246
11.444,1.249,2.955
6.224,0.736,1.331
9.957,1.125,2.428
6.932,0.74,1.344
7.709,0.882,1.695
6.084,0.664,1.174
14.474,0.533,0.936
9.788,1.073,2.245
11.344,1.248,2.938
13.138,1.34,3.426
15.278,1.546,2.107
10.899,1.191,2.697
6.265,0.771,1.347
12.141,1.29,3.135
13.233,1.387,3.513
5.526,0.568,0.97
13.174,1.389,3.168
2.029,0.248,0.442
6.292,0.628,1.093
10.741,1.452,2.593
11.992,1.245,2.935
11.759,1.26,3.011
7.039,0.794,1.473
12.493,1.312,3.227
8.974,1.087,2.292
10.514,1.223,2.825
7.186,0.806,1.504
9.647,1.168,2.59
8.461,1.013,2.062
10.974,1.219,2.825
10.065,1.106,2.358
9.105,1.11,2.363
8.935,1.059,2.203
8.154,0.918,1.795
10.253,1.311,3.239
6.921,1.013,1.949
6.561,0.845,1.394
14.643,0.59,1.036
9.206,1.215,2.593
12.246,1.282,3.167
10.729,1.195,2.703
6.378,0.784,1.442
7.475,0.849,1.612
10.699,1.183,2.665
11.33,1.162,2.583
14.898,0.632,1.154
6.78,0.705,1.255
11.782,1.253,2.858
11.876,1.251,2.922
10.298,1.146,2.507
8.619,1.008,2.04
14.639,0.578,1.097
7.631,0.886,1.708
9.108,1.109,2.364
11.797,1.226,2.804
11.866,1.274,3.079
7.543,0.868,1.662
11.655,1.297,2.952
11.733,1.261,3.015
11.248,1.222,2.83
13.853,1.433,3.572
10.035,1.157,2.553
4.567,0.474,0.78
13.388,1.39,3.676
11.466,1.231,2.871
12.148,1.291,3.154
9.975,1.117,2.395
11.263,1.261,2.923
12.237,1.281,3.144
12.406,1.322,3.376
9.557,1.309,2.805
5.432,0.899,1.119
14.534,0.586,0.977
10.261,1.212,2.403
5.794,0.613,1.052
5.315,0.549,0.929
10.834,1.251,2.956
12.977,0.458,0.76
10.624,1.239,2.9
11.555,1.294,3.198
5.668,0.551,0.937
0.98,0.688,1.194
9.218,1.076,2.25
8.04,0.952,1.881
11.714,1.25,2.976
10.219,1.207,2.737
12.176,1.275,3.115
7.087,0.762,1.396
13.578,1.544,4.112
9.302,1.126,2.416
15.686,1.611,2.798
14.609,0.769,1.445
10.959,1.192,2.694
10.455,1.172,2.602
14.145,1.46,3.753
10.808,1.199,2.718
15.297,1.495,2.182
13.013,1.343,3.45
11.634,1.241,2.934
14.531,1.686,4.51
4.298,0.514,0.853
8.149,0.929,1.817
3.697,0.45,0.72
8.946,1.1,2.322
11.89,1.253,2.97
6.651,0.726,1.312
13.226,1.404,3.375
13.446,1.389,3.684
8.11,0.982,1.964
15.187,1.611,2.42
12.433,1.337,3.433
3.525,0.388,0.617
10.338,1.65,2.74
9.591,1.121,2.394
10.701,1.196,2.718
15.003,0.604,1.134
10.952,1.234,2.914
10.835,1.217,2.801
4.447,0.453,0.733
6.075,0.654,1.144
6.838,0.783,1.452
10.593,1.138,2.467
13.556,1.431,3.865
6.959,0.812,1.509
8.494,1.025,2.093
8.811,1.085,2.138
10.789,1.157,2.549
10.251,1.172,2.603
12.032,1.314,3.196
14.328,2.192,4.169
9.302,1.087,2.286
9.897,1.142,2.493
13.177,1.4,3.46
10.135,1.222,2.825
9.196,1.049,2.166
5.797,0.605,1.041
13.249,0.071,0.121
7.953,0.907,1.765
8.854,1.261,1.823
8.554,1.013,2.051
10.807,1.234,2.558
12.685,1.371,3.569
15.031,0.663,1.073
10.016,1.223,2.795
9.507,1.151,2.516
10.744,1.238,2.865
14.751,0.457,0.785
12.006,1.229,2.882
12.122,1.288,3.148
13.553,1.459,3.884
4.859,0.586,0.89
12.838,1.319,3.33
6.882,0.813,1.512
9.93,1.157,2.549
5.267,0.546,0.926
13.455,0.208,0.331
7.536,0.835,1.575
12,1.282,3.117
11.787,1.242,2.954
13.963,0.362,0.676
7.068,0.817,1.531
12.827,1.329,3.388
12.347,1.331,3.342
14.606,1.519,4.56
11.22,1.23,2.872
6.426,0.682,1.213
11.37,1.268,3.074
7.102,0.801,1.494
11.854,1.329,3.24
10.277,1.195,2.725
9.075,1.132,2.443
13.84,1.416,3.606
13.705,1.451,3.641
10.544,1.177,2.613
