Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
4000,18.409,17.655,16.158,15.262,14.441,13.648,13.274,13.048,19.261,16.930,15.595,15.030,14.728,15.534,16.391,14.608,0.754,1.497,0.896,0.821,0.374,0.226,2.331,1.335,0.565,0.302,2.510,1.947,0.926,1.783,7.5,0.313,3.84E+09
4250,17.628,17.025,15.678,14.881,14.144,13.455,13.123,12.923,18.472,16.366,15.184,14.704,14.461,15.159,15.914,14.298,0.603,1.347,0.797,0.737,0.332,0.200,2.106,1.182,0.480,0.243,2.223,1.729,0.861,1.616,7.5,0.314,3.43E+09
4500,16.915,16.458,15.252,14.544,13.883,13.286,12.989,12.811,17.752,15.860,14.822,14.419,14.228,14.822,15.485,14.025,0.457,1.206,0.708,0.661,0.297,0.178,1.892,1.038,0.403,0.191,1.966,1.536,0.797,1.460,7.5,0.314,3.03E+09
4750,16.262,15.947,14.874,14.246,13.654,13.137,12.870,12.713,17.094,15.406,14.502,14.167,14.022,14.518,15.099,13.784,0.315,1.073,0.628,0.592,0.267,0.157,1.688,0.904,0.335,0.145,1.737,1.365,0.734,1.315,7.5,0.315,2.64E+09
5000,15.662,15.486,14.539,13.983,13.453,13.006,12.766,12.625,16.489,15.000,14.220,13.946,13.842,14.245,14.752,13.572,0.176,0.947,0.556,0.530,0.240,0.141,1.489,0.780,0.274,0.104,1.533,1.214,0.673,1.180,7.5,0.316,2.34E+09
5250,15.112,15.074,14.245,13.751,13.276,12.890,12.673,12.548,15.936,14.638,13.972,13.753,13.684,13.999,14.441,13.385,0.038,0.829,0.494,0.475,0.217,0.125,1.298,0.666,0.219,0.069,1.355,1.082,0.614,1.056,7.5,0.316,2.08E+09
5500,14.621,14.711,13.986,13.547,13.120,12.786,12.589,12.477,15.441,14.319,13.755,13.582,13.543,13.780,14.165,13.220,-0.090,0.725,0.439,0.427,0.197,0.112,1.122,0.564,0.173,0.039,1.200,0.969,0.560,0.945,7.5,0.317,1.83E+09
6000,13.821,14.118,13.553,13.196,12.844,12.593,12.429,12.339,14.640,13.794,13.384,13.283,13.291,13.399,13.698,12.929,-0.297,0.565,0.357,0.352,0.164,0.090,0.846,0.410,0.101,-0.008,0.960,0.791,0.470,0.769,7.5,0.321,1.32E+09
6500,13.218,13.654,13.199,12.900,12.603,12.419,12.284,12.213,14.038,13.375,13.074,13.025,13.069,13.077,13.315,12.677,-0.436,0.455,0.299,0.297,0.135,0.071,0.663,0.301,0.049,-0.044,0.780,0.655,0.400,0.638,7.5,0.323,1.06E+09
7000,12.743,13.273,12.896,12.641,12.389,12.261,12.151,12.097,13.564,13.025,12.805,12.798,12.871,12.797,12.991,12.453,-0.530,0.377,0.255,0.252,0.110,0.054,0.539,0.220,0.007,-0.073,0.635,0.544,0.344,0.538,7.5,0.325,8.90E+08
7500,12.340,12.941,12.626,12.407,12.193,12.114,12.025,11.987,13.161,12.717,12.562,12.590,12.689,12.544,12.702,12.249,-0.601,0.315,0.219,0.214,0.089,0.038,0.444,0.155,-0.028,-0.099,0.512,0.448,0.295,0.453,7.5,0.327,7.56E+08
8000,11.989,12.648,12.385,12.196,12.015,11.979,11.909,11.885,12.811,12.443,12.344,12.401,12.522,12.316,12.444,12.064,-0.659,0.263,0.189,0.181,0.070,0.024,0.368,0.099,-0.057,-0.121,0.406,0.365,0.252,0.380,7.5,0.329,6.47E+08
8500,11.678,12.383,12.160,11.994,11.838,11.841,11.792,11.782,12.501,12.194,12.136,12.217,12.356,12.101,12.205,11.882,-0.705,0.223,0.166,0.156,0.049,0.010,0.307,0.058,-0.081,-0.139,0.319,0.295,0.219,0.323,7.5,0.331,5.57E+08
