Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
35000.0,6.462,7.68,7.955,8.095,8.271,8.656,8.77,8.868,7.306,7.669,8.176,8.55,8.901,7.95,7.785,8.239,-1.218,-0.275,-0.14,-0.176,-0.114,-0.098,-0.363,-0.507,-0.374,-0.351,-0.701,-0.48,-0.289,-0.454,7.0,0.32,575700.0
40000.0,6.155,7.408,7.701,7.845,8.025,8.419,8.535,8.632,7.0,7.405,7.925,8.303,8.657,7.692,7.52,7.991,-1.253,-0.293,-0.144,-0.18,-0.116,-0.097,-0.405,-0.52,-0.378,-0.354,-0.718,-0.494,-0.299,-0.471,7.0,0.338,316600.0
45000.0,5.938,7.211,7.516,7.661,7.845,8.244,8.36,8.457,6.782,7.213,7.741,8.122,8.478,7.504,7.327,7.81,-1.273,-0.305,-0.145,-0.184,-0.116,-0.097,-0.431,-0.528,-0.381,-0.356,-0.728,-0.503,-0.306,-0.483,7.0,0.353,185700.0
50000.0,5.763,7.051,7.364,7.51,7.696,8.098,8.215,8.311,6.608,7.056,7.589,7.973,8.33,7.349,7.169,7.66,-1.288,-0.313,-0.146,-0.186,-0.117,-0.096,-0.448,-0.533,-0.384,-0.357,-0.734,-0.509,-0.311,-0.491,7.0,0.366,115600.0
55000.0,5.613,6.911,7.231,7.379,7.566,7.971,8.088,8.184,6.458,6.92,7.457,7.842,8.2,7.215,7.032,7.529,-1.298,-0.32,-0.148,-0.187,-0.117,-0.096,-0.462,-0.537,-0.385,-0.358,-0.74,-0.514,-0.314,-0.497,7.0,0.379,77540.0
60000.0,5.475,6.782,7.107,7.256,7.445,7.851,7.968,8.065,6.32,6.793,7.334,7.72,8.079,7.089,6.905,7.407,-1.307,-0.325,-0.149,-0.189,-0.117,-0.097,-0.473,-0.541,-0.386,-0.359,-0.744,-0.517,-0.318,-0.502,7.0,0.394,55760.0
65000.0,5.342,6.656,6.985,7.134,7.325,7.733,7.85,7.947,6.187,6.668,7.212,7.6,7.959,6.966,6.78,7.286,-1.314,-0.329,-0.149,-0.191,-0.117,-0.097,-0.481,-0.544,-0.388,-0.359,-0.748,-0.521,-0.32,-0.506,7.0,0.411,47090.0
70000.0,5.213,6.533,6.865,7.016,7.207,7.617,7.734,7.831,6.058,6.546,7.094,7.482,7.842,6.846,6.658,7.168,-1.32,-0.332,-0.151,-0.191,-0.117,-0.097,-0.488,-0.548,-0.388,-0.36,-0.752,-0.523,-0.322,-0.51,7.0,0.43,44100.0
75000.0,5.085,6.41,6.746,6.897,7.089,7.5,7.618,7.715,5.93,6.425,6.975,7.364,7.724,6.725,6.536,7.05,-1.325,-0.336,-0.151,-0.192,-0.118,-0.097,-0.495,-0.55,-0.389,-0.36,-0.754,-0.525,-0.325,-0.514,7.0,0.452,34580.0
80000.0,4.97,6.299,6.638,6.79,6.983,7.395,7.514,7.611,5.815,6.315,6.867,7.258,7.618,6.617,6.427,6.944,-1.329,-0.339,-0.152,-0.193,-0.119,-0.097,-0.5,-0.552,-0.391,-0.36,-0.757,-0.528,-0.327,-0.517,7.0,0.472,28080.0
